City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,hotan,37.0997,79.9269,-2.04,43,2,1.54,CN,1737489442
235,weno,7.4515,151.8468,28.97,79,75,4.12,FM,1737489443
236,bardai,11.65,7.2333,24.11,20,3,4.08,NG,1737489444
237,aguas vermelhas,-15.7472,-41.46,26.13,70,88,0.88,BR,1737489445
238,bamboo flat,11.7,92.7167,23.72,78,100,1.94,IN,1737489446
239,carnarvon,-24.8667,113.6333,26.41,78,43,9.08,AU,1737489448
240,margaret river,-33.95,115.0667,23.86,67,100,3.31,AU,1737489169
241,east ballina,-28.8667,153.5833,21.67,91,100,2.03,AU,1737489450
242,minas de marcona,-15.2119,-75.1103,21.9,57,24,7.14,PE,1737489451
243,enewetak,11.3474,162.3373,27.02,84,53,10.34,MH,1737489452
244,vorgashor,67.5833,63.95,-33.04,100,99,0.73,RU,1737489454
245,al kut,32.5147,45.819,12.56,41,0,4.37,IQ,1737489455
246,charters towers,-20.1,146.2667,23.74,90,26,2.8,AU,1737489456
247,annau,37.8876,58.516,3.72,70,75,2.06,TM,1737489457
248,cannonvale,-20.2833,148.7,26.66,83,27,1.11,AU,1737489458
249,montepuez,-13.1256,38.9997,21.58,97,100,0.6,MZ,1737489461
250,waingapu,-9.6567,120.2641,25.28,84,100,2.58,ID,1737489462
251,plastun,44.7561,136.2939,-8.77,82,100,1.99,RU,1737489463
252,wangjing,24.6,94.0333,7.96,84,0,0.43,IN,1737489464
253,sola,-13.8833,167.55,28.57,75,19,4.26,VU,1737489465
254,watertown,42.3709,-71.1828,-6.36,46,100,6.69,US,1737489467
255,tyuratam,45.6507,63.3156,-5.38,73,57,9.6,KZ,1737489468
256,terenozek,45.05,64.9833,-2.49,78,100,9.44,KZ,1737489469
257,rafraf,37.1904,10.1837,14.33,63,100,2.81,TN,1737489470
258,taroa,8.7058,171.2275,26.24,80,100,9.33,MH,1737489471
259,mpika,-11.8343,31.4529,16.23,98,100,2.91,ZM,1737489473
260,nouadhibou,20.931,-17.0347,19.99,73,0,5.66,MR,1737489474
261,palangkaraya,-2.2,113.8333,22.36,98,97,0.82,ID,1737489475
262,qal'ah-ye shahr,35.5473,65.5676,-11.6,87,91,3.19,AF,1737489476
263,rawlins,41.7911,-107.2387,-8.69,35,0,6.17,US,1737489477
264,granada,37.25,-3.25,10.72,56,77,4.27,ES,1737489419
265,santarem,-2.4431,-54.7083,32.07,58,40,4.12,BR,1737489480
266,tejen,37.3834,60.5054,5.24,72,54,2.36,TM,1737489481
267,howrah,22.5892,88.3103,19.0,82,0,0.0,IN,1737489482
268,kununurra,-15.7667,128.7333,26.99,94,99,3.6,AU,1737489483
269,zayed city,24.3768,54.589,22.22,54,20,6.17,AE,1737489484
270,constantia,44.1833,28.65,6.5,86,100,4.27,RO,1737489485
271,jagdalpur,19.0667,82.0333,13.9,31,27,1.0,IN,1737489487
272,umred,20.85,79.3333,18.43,37,1,1.45,IN,1737489488
273,zahedan,29.4963,60.8629,5.95,81,75,5.14,IR,1737489489
274,tashtagol,52.7657,87.8894,-3.24,94,100,1.31,RU,1737489490
275,lebu,-37.6167,-73.65,16.91,71,0,5.76,CL,1737489491
276,hobyo,5.3505,48.5268,24.48,83,8,6.75,SO,1737489493
277,aral,40.5156,81.2636,-4.58,54,6,1.73,CN,1737489494
278,fort mcmurray,56.7268,-111.381,-1.23,86,100,6.17,CA,1737489495
279,lerwick,60.1545,-1.1494,7.1,86,99,1.52,GB,1737489496
280,yorkton,51.2167,-102.4677,-7.09,79,100,6.23,CA,1737489497
281,lewistown,40.5992,-77.5714,-8.33,70,0,4.12,US,1737489498
282,iskateley,67.6803,53.1512,-17.12,94,92,4.14,RU,1737489500
283,kandyagash,49.4744,57.4233,-13.85,90,100,8.42,KZ,1737489501
284,broken hill,-31.95,141.4333,17.98,69,89,8.41,AU,1737489502
285,ende,-8.8432,121.6623,23.32,91,100,0.52,ID,1737489503
286,chibougamau,49.9168,-74.3659,-26.21,70,75,3.6,CA,1737489506
287,urucara,-2.5364,-57.76,29.62,62,68,1.97,BR,1737489507
288,tolanaro,-25.0319,46.9987,27.04,83,20,5.14,MG,1737489508
289,klaksvik,62.2266,-6.589,5.7,79,98,4.18,FO,1737489509
290,ilhabela,-23.7781,-45.3581,29.56,73,100,2.99,BR,1737489510
291,alupka,44.4167,34.05,6.7,88,100,6.24,UA,1737489410
292,acarau,-2.8856,-40.12,27.79,72,23,5.2,BR,1737489513
293,labytnangi,66.6572,66.4183,-32.78,98,99,1.39,RU,1737489390
294,fort-shevchenko,44.5086,50.263,1.2,66,8,4.86,KZ,1737489515
295,gadzhiyevo,69.2551,33.3362,-18.68,100,100,3.69,RU,1737489517
296,rampur,28.8167,79.0333,13.34,46,1,3.58,IN,1737489518
297,nova sintra,14.8667,-24.7167,21.89,78,16,9.73,CV,1737489519
298,punta arenas,-53.15,-70.9167,14.06,72,100,3.6,CL,1737489520
299,wesselsbron,-27.8549,26.3658,24.19,37,82,2.13,ZA,1737489521
300,zouerate,22.7187,-12.4521,19.49,13,0,1.58,MR,1737489523
301,utrik,11.2278,169.8474,26.31,83,63,10.34,MH,1737489525
302,kapuskasing,49.4169,-82.4331,-23.95,58,0,4.63,CA,1737489526
303,rosarito,32.3333,-117.0333,21.51,13,12,8.5,MX,1737489221
304,al jawf,29.5,38.75,9.74,43,84,4.79,SA,1737489529
305,vilyuysk,63.7553,121.6247,-14.27,98,100,1.03,RU,1737489530
306,huntingdon,52.3305,-0.1865,2.74,91,100,2.38,GB,1737489531
307,lakatoro,-16.0999,167.4164,28.68,80,100,2.72,VU,1737489532
308,callao,-12.0667,-77.15,22.16,78,40,3.09,PE,1737489533
309,bembereke,10.2283,2.6634,28.63,20,1,1.69,BJ,1737489535
310,karratha,-20.7377,116.8463,28.07,72,100,1.71,AU,1737489536
311,port alfred,-33.5906,26.891,21.77,89,100,3.58,ZA,1737489537
312,ardakan,32.31,54.0175,5.25,50,2,2.0,IR,1737489538
313,narman,40.3465,41.8703,-7.98,63,0,3.64,TR,1737489539
314,ampanihy,-24.7,44.75,24.39,84,29,1.89,MG,1737489540
315,paciran,-6.8767,112.3761,24.49,94,100,3.62,ID,1737489542
316,witu,-2.3889,40.4382,23.77,88,64,4.33,KE,1737489543
317,alofi,-19.0595,-169.9187,27.94,89,95,2.06,NU,1737489544
318,altai,46.3722,96.2583,-11.39,46,37,1.24,MN,1737489545
319,birao,10.2849,22.7882,26.14,18,4,2.55,CF,1737489547
320,bagneres-de-bigorre,43.0667,0.15,5.83,87,100,1.03,FR,1737489548
321,nuku'alofa,-21.1333,-175.2,27.19,94,40,1.03,TO,1737489549
322,tobol,52.6844,62.5794,-15.7,91,97,3.73,KZ,1737489551
323,quellon,-43.1167,-73.6167,16.45,62,97,1.8,CL,1737489552
324,san sebastian de la gomera,28.0916,-17.1133,19.2,72,40,5.14,ES,1737489553
325,pointe-noire,-4.7761,11.8635,25.25,86,98,1.23,CG,1737489554
326,pangody,65.85,74.4859,-34.35,94,100,7.67,RU,1737489557
327,saint-philippe,-21.3585,55.7679,25.97,82,67,3.94,RE,1737489558
328,ghat,24.9647,10.1728,12.94,27,0,0.57,LY,1737489559
329,shakhtinsk,49.71,72.5872,-3.93,94,100,12.93,KZ,1737489561
330,myitkyina,25.3833,97.4,14.88,81,0,1.43,MM,1737489562
331,okhotsk,59.3833,143.3,-24.3,76,7,5.22,RU,1737489563
332,tura,25.5198,90.2201,13.78,80,0,1.61,IN,1737489564
333,alotau,-10.3069,150.4462,26.05,91,49,1.74,PG,1737489567
334,badger,64.8,-147.5333,-5.36,93,75,0.0,US,1737489568
335,berezovyy,51.6667,135.7,-21.58,94,6,1.51,RU,1737489569
336,tomohon,1.3346,124.8392,17.97,96,100,0.4,ID,1737489570
337,dzhetygara,52.1908,61.2006,-12.01,81,99,8.24,KZ,1737489571
338,soio,-6.1349,12.3689,25.54,84,96,1.89,AO,1737489573
339,gulf shores,30.246,-87.7008,-3.33,80,100,2.68,US,1737489574
340,nantucket,41.2835,-70.0995,-2.94,50,75,6.8,US,1737489575
341,jackson,42.4165,-122.8345,1.93,64,0,0.0,US,1737489519
342,san antonio de pale,-1.4014,5.6325,26.76,75,99,2.76,GQ,1737489578
343,tshabong,-26.05,22.45,29.08,36,86,4.95,BW,1737489580
344,revda,56.801,59.9303,-21.46,89,100,4.32,RU,1737489581
345,cidade velha,14.9167,-23.6167,23.26,68,20,6.69,CV,1737489582
346,tukrah,32.5341,20.5791,14.96,68,2,2.12,LY,1737489583
347,rabaul,-4.1967,152.1721,26.29,78,31,1.93,PG,1737489584
348,thompson,55.7435,-97.8558,-20.91,65,75,1.54,CA,1737489586
349,cidreira,-30.1811,-50.2056,27.77,61,3,7.02,BR,1737489587
350,carbonear,47.7332,-53.2148,-4.92,63,100,12.1,CA,1737489588
351,wladyslawowo,54.7909,18.4009,2.74,87,100,3.0,PL,1737489589
352,tendukheda,23.4,79.55,16.63,62,0,0.28,IN,1737489591
353,tobelo,1.7284,128.0095,26.09,87,100,1.4,ID,1737489592
354,gaiman,-43.2897,-65.4929,23.11,47,97,8.3,AR,1737489593
355,yamada,39.4667,141.95,1.88,100,100,1.86,JP,1737489594
356,chonchi,-42.6128,-73.8092,18.59,52,100,0.45,CL,1737489595
357,shalqar,47.8333,59.6,-12.43,87,79,9.49,KZ,1737489597
358,cervantes,-39.05,-67.3833,35.44,6,6,8.96,AR,1737489598
